Campaign_ID,Week_Start,Week_Date,Campaign_Name,Market,Channel,Spend_USD,Impressions,Reach,Conversions,,Market,Channel,Sum of Spend_USD,Sum of Conversions,Sum of Cost Per Acquisition (CPA),Sum of Reach,Sum of Cost Per Reach (CPR)
Always_OnUKYouTube,2/1/2023,2/1/2023,Always_On,UK,YouTube,6212,331780,111134,214,,EG,," $2,151,203.00 "," 340,022 ", $6.33 ," 59,479,404 ", $0.036 
Always_OnUKSocial,2/1/2023,2/1/2023,Always_On,UK,Social,4262,318639,154596,137,,,Display," $390,429.00 "," 12,204 ", $31.99 ," 19,749,835 ", $0.020 
Always_OnUKDisplay,2/1/2023,2/1/2023,Always_On,UK,Display,2009,515503,101883,18,,,Search," $581,230.00 "," 180,205 ", $3.23 ," 6,288,476 ", $0.092 
Always_OnUKSearch,2/1/2023,2/1/2023,Always_On,UK,Search,5513,67707,61330,466,,,Social," $599,752.00 "," 74,516 ", $8.05 ," 16,740,556 ", $0.036 
Always_OnDEYouTube,2/1/2023,2/1/2023,Always_On,DE,YouTube,5664,426034,190810,173,,,YouTube," $579,792.00 "," 73,097 ", $7.93 ," 16,700,537 ", $0.035 
Always_OnDESocial,2/1/2023,2/1/2023,Always_On,DE,Social,7944,480628,224773,282,,SA,," $2,083,640.00 "," 338,507 ", $6.16 ," 55,848,091 ", $0.037 
Always_OnDEDisplay,2/1/2023,2/1/2023,Always_On,DE,Display,2804,818015,203508,25,,,Display," $335,932.00 "," 10,521 ", $31.93 ," 17,197,782 ", $0.020 
Always_OnDESearch,2/1/2023,2/1/2023,Always_On,DE,Search,3345,48268,40600,305,,,Search," $583,448.00 "," 180,827 ", $3.23 ," 6,294,576 ", $0.093 
Always_OnSAYouTube,2/1/2023,2/1/2023,Always_On,SA,YouTube,4915,313629,105299,650,,,Social," $577,913.00 "," 72,955 ", $7.92 ," 16,033,091 ", $0.036 
Always_OnSASocial,2/1/2023,2/1/2023,Always_On,SA,Social,3534,253551,114033,448,,,YouTube," $586,347.00 "," 74,204 ", $7.90 ," 16,322,642 ", $0.036 
Always_OnSADisplay,2/1/2023,2/1/2023,Always_On,SA,Display,2218,521679,88150,66,,DE,," $3,187,902.00 "," 137,131 ", $23.25 ," 86,429,705 ", $0.037 
Always_OnSASearch,2/1/2023,2/1/2023,Always_On,SA,Search,3032,42152,36408,1015,,,Display," $546,337.00 "," 4,490 ", $121.68 ," 27,688,783 ", $0.020 
Always_OnEGYouTube,2/1/2023,2/1/2023,Always_On,EG,YouTube,3238,265504,114933,442,,,Search," $903,083.00 "," 74,667 ", $12.09 ," 9,779,265 ", $0.092 
Always_OnEGSocial,2/1/2023,2/1/2023,Always_On,EG,Social,4428,311128,139029,605,,,Social," $853,339.00 "," 28,355 ", $30.09 ," 23,613,823 ", $0.036 
